Place,ID,Year,Region1,Region2,Type,CurrentOfstedOverall,MidYearPop,CPPAt3103,"Rate of children who were the subject of a child protection plan at 31 March per 10,000 children ",CLA_Mar2019,"Rate of children looked after at 31 March per 10,000 children aged under 18 years",CINAt3103,CINAt3103NoDisabled,Percentage of children in need at 31 March with a disability recorded,IDACI 2015: Average score (higher score is more deprived),Ppl_SqKm,PrimSecSpec_BME,% Minority Ethnic Pupils
Bradford,380,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Inadequate,142005,861,61,1159,82,5476,401,7,0.25,1473,58222,58
Calderdale,381,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,46021,261,57,335,73,1560,107,7,0.21,581,9606,26
Kirklees,382,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Requires improvement to be good,100174,360,36,622,62,2455,198,8,0.19,1076,27685,41
Leeds,383,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Outstanding,168176,399,24,1288,77,5472,336,6,0.23,1438,43329,35
Wakefield,384,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Inadequate,72893,507,70,609,84,3205,284,9,0.22,1029,8094,15
Gateshead,390,2018-19,North East,North East,Metropolitan borough council,Good,39605,262,66,380,96,1505,278,19,0.23,1419,3662,13
Newcastle upon Tyne,391,2018-19,North East,North East,Metropolitan borough council,Requires improvement to be good,58056,587,101,683,118,3181,499,16,0.27,2669,13293,33
North Tyneside,392,2018-19,North East,North East,Metropolitan borough council,Outstanding,41360,149,36,307,74,1346,165,12,0.2,2526,2753,9
South Tyneside,393,2018-19,North East,North East,Metropolitan borough council,Good,29920,160,54,306,102,1321,198,15,0.28,2343,1957,9
Sunderland,394,2018-19,North East,North East,Metropolitan borough council,Inadequate,54563,464,85,595,109,2526,221,9,0.26,2021,3429,8
Isles of Scilly,420,2018-19,South West,South West,Council of the Isles of Scilly,Good,368,0,0,0,0,28,0,0,0.01,136,31,12
Bath and North East Somerset,800,2018-19,South West,South West,Unitary,Good,35946,91,25,191,53,993,245,25,0.12,559,3647,14
"Bristol, City of",801,2018-19,South West,South West,Unitary,Requires improvement to be good,94016,349,37,617,66,2950,404,14,0.25,4224,23071,38
North Somerset,802,2018-19,South West,South West,Unitary,Requires improvement to be good,43435,146,34,243,56,1187,165,14,0.15,575,3536,12
South Gloucestershire,803,2018-19,South West,South West,Unitary,Requires improvement to be good,58867,201,34,192,33,1683,307,18,0.12,574,6696,17
Hartlepool,805,2018-19,North East,North East,Unitary,Good,20006,129,65,284,142,1396,168,12,0.31,999,1054,7
Middlesbrough,806,2018-19,North East,North East,Unitary,Inadequate,32513,263,81,519,160,2169,266,12,0.36,2616,6721,27
Redcar and Cleveland,807,2018-19,North East,North East,Unitary,Requires improvement to be good,27626,159,58,297,108,1285,184,14,0.27,560,1008,5
Stockton-on-Tees,808,2018-19,North East,North East,Unitary,Requires improvement to be good,43521,250,57,500,115,1875,235,13,0.23,963,3805,12
"Kingston Upon Hull, City of",810,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Inadequate,57023,541,95,796,140,3231,454,14,0.34,3629,8153,20
East Riding of Yorkshire,811,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Inadequate,62942,234,37,334,53,1807,325,18,0.13,142,3283,7
North East Lincolnshire,812,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Good,34503,301,87,448,130,2332,124,5,0.29,828,2117,9
North Lincolnshire,813,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Outstanding,35714,154,43,251,70,1183,144,12,0.21,204,3606,15
North Yorkshire,815,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,County,Outstanding,117499,367,31,428,36,2680,527,20,0.11,77,7472,9
York,816,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Good,36572,160,44,207,57,1303,134,10,0.12,775,3143,12
Luton,821,2018-19,East of England,East of England,Unitary,Inadequate,57375,177,31,406,71,1874,404,22,0.24,4914,30853,80
Bedford Borough,822,2018-19,East of England,East of England,Unitary,Requires improvement to be good,40088,58,15,232,58,1174,189,16,0.19,364,13259,46
Central Bedfordshire,823,2018-19,East of England,East of England,Unitary,Good,62515,188,30,320,51,1382,236,17,0.14,403,7977,18
Buckinghamshire,825,2018-19,South East,South East,County,Inadequate,124321,562,45,515,41,3338,603,18,0.1,348,30511,36
Milton Keynes,826,2018-19,South East,South East,Unitary,Requires improvement to be good,68278,136,20,381,56,2156,385,18,0.2,873,21026,45
Derbyshire,830,2018-19,East Midlands,East Midlands,County,Requires improvement to be good,153272,932,61,802,52,5691,777,14,0.17,315,7727,7
Derby,831,2018-19,East Midlands,East Midlands,Unitary,Good,59899,426,71,562,94,2922,335,12,0.25,3297,18280,43
Dorset,835,2018-19,South West,South West,County,,76699,305,40,416,54,2712,219,8,0.13,152,4573,8
Poole,836,2018-19,South West,South West,Unitary,0,30188,74,25,194,64,1103,162,15,0.16,0,2951,15
Bournemouth,837,2018-19,South West,South West,Unitary,0,36373,136,37,251,69,1351,136,10,0.19,0,6408,27
Durham,840,2018-19,North East,North East,Unitary,Requires improvement to be good,101040,403,40,840,83,3571,246,7,0.24,238,3960,5
Darlington,841,2018-19,North East,North East,Unitary,Requires improvement to be good,22454,102,45,264,118,1042,127,12,0.22,541,2004,12
East Sussex,845,2018-19,South East,South East,County,Outstanding,106378,569,54,600,56,3135,396,13,0.17,326,9111,14
Brighton and Hove,846,2018-19,South East,South East,Unitary,Good,51005,316,62,391,77,2039,200,10,0.18,3512,8671,27
Hampshire,850,2018-19,South East,South East,County,Outstanding,284002,1097,39,1664,59,8585,1015,12,0.12,376,24110,14
Portsmouth,851,2018-19,South East,South East,Unitary,Good,44046,195,44,486,110,1645,196,12,0.24,5321,6379,25
Southampton,852,2018-19,South East,South East,Unitary,Requires improvement to be good,50832,305,60,481,95,2657,450,17,0.25,5062,12345,38
Leicestershire,855,2018-19,East Midlands,East Midlands,County,Requires improvement to be good,140307,388,28,584,42,2931,273,9,0.12,339,18370,19
Leicester,856,2018-19,East Midlands,East Midlands,Unitary,Requires improvement to be good,83994,349,42,611,73,1971,192,10,0.28,4830,41686,74
Rutland,857,2018-19,East Midlands,East Midlands,Unitary,Requires improvement to be good,7807,22,28,33,42,228,23,10,0.08,105,470,8
Staffordshire,860,2018-19,West Midlands,West Midlands,County,Good,169603,796,47,1172,69,5663,688,12,0.15,336,15181,13
Stoke-on-Trent,861,2018-19,West Midlands,West Midlands,Unitary,Inadequate,57549,309,54,851,148,3429,384,11,0.29,2743,12791,32
Wiltshire,865,2018-19,South West,South West,Unitary,Good,105692,400,38,462,44,2951,326,11,0.11,154,8399,12
Swindon,866,2018-19,South West,South West,Unitary,Good,50239,333,66,348,69,2277,241,11,0.17,966,10247,30
Bracknell Forest,867,2018-19,South East,South East,Unitary,Good,28336,130,46,158,56,1043,108,10,0.11,1120,3996,22
Windsor and Maidenhead,868,2018-19,South East,South East,Unitary,Good,34604,90,26,124,36,737,57,8,0.08,771,8172,37
West Berkshire,869,2018-19,South East,South East,Unitary,Good,35623,118,33,172,48,1065,146,14,0.1,225,4531,17
Reading,870,2018-19,South East,South East,Unitary,Requires improvement to be good,37080,255,69,273,74,1635,143,9,0.2,4005,12882,58
Slough,871,2018-19,South East,South East,Unitary,Requires improvement to be good,42699,218,51,213,50,1426,221,16,0.2,4595,26911,85
Wokingham,872,2018-19,South East,South East,Unitary,Requires improvement to be good,39532,127,32,110,28,898,53,6,0.07,956,8950,34
Cambridgeshire,873,2018-19,East of England,East of England,County,Requires improvement to be good,135719,530,39,772,57,3388,357,11,0.13,215,20161,24
Peterborough,874,2018-19,East of England,East of England,Unitary,Good,51137,206,40,370,72,1856,232,13,0.25,589,18518,50
Halton,876,2018-19,North West,North West,Unitary,Requires improvement to be good,28617,127,44,265,93,931,125,13,0.27,1636,1163,6
Warrington,877,2018-19,North West,North West,Unitary,Good,44484,216,49,385,87,1356,115,9,0.15,1163,4266,13
Devon,878,2018-19,South West,South West,County,Inadequate,145878,518,36,750,51,4595,1542,34,0.14,122,7657,8
Plymouth,879,2018-19,South West,South West,Unitary,Requires improvement to be good,52552,255,49,412,78,1757,318,18,0.23,3282,4650,12
Torbay,880,2018-19,South West,South West,Unitary,Inadequate,25423,179,70,362,142,1067,184,17,0.24,2167,1962,10
Essex,881,2018-19,East of England,East of England,County,Outstanding,311172,576,19,1054,34,6453,849,13,0.17,431,37450,18
Southend-on-Sea,882,2018-19,East of England,East of England,Unitary,Requires improvement to be good,39540,171,43,308,78,1420,168,12,0.23,4394,8254,28
Thurrock,883,2018-19,East of England,East of England,Unitary,Good,43762,153,35,293,67,1847,155,8,0.22,1064,11257,39
Herefordshire,884,2018-19,West Midlands,West Midlands,Unitary,Requires improvement to be good,36103,111,31,333,92,877,136,16,0.14,88,2902,12
Worcestershire,885,2018-19,West Midlands,West Midlands,County,Requires improvement to be good,117783,408,35,833,71,3588,381,11,0.16,342,11444,14
Kent,886,2018-19,South East,South East,County,Good,340140,1303,38,1590,47,10370,1356,13,0.18,446,49256,21
Medway,887,2018-19,South East,South East,Unitary,Inadequate,64391,355,55,424,66,2417,327,14,0.22,1438,12388,27
Lancashire,888,2018-19,North West,North West,County,Requires improvement to be good,249727,1371,55,2116,85,9648,1307,14,0.18,422,35308,20
Blackburn with Darwen,889,2018-19,North West,North West,Unitary,Good,38481,265,69,403,105,1852,122,7,0.24,1092,14877,55
Blackpool,890,2018-19,North West,North West,Unitary,Inadequate,28904,399,138,568,197,2288,141,6,0.33,3999,2421,12
Nottinghamshire,891,2018-19,East Midlands,East Midlands,County,Good,166542,834,50,869,52,4712,272,6,0.18,397,18057,15
Nottingham,892,2018-19,East Midlands,East Midlands,Unitary,Requires improvement to be good,68651,509,74,629,92,3228,467,15,0.35,4462,25427,55
Shropshire,893,2018-19,West Midlands,West Midlands,Unitary,Good,59839,328,55,396,66,1590,230,15,0.13,101,3365,9
Telford and Wrekin,894,2018-19,West Midlands,West Midlands,Unitary,Outstanding,40620,252,62,388,96,1597,253,16,0.25,620,6606,22
Cheshire East,895,2018-19,North West,North West,Unitary,Requires improvement to be good,76523,268,35,485,63,2108,190,9,0.12,329,6534,12
Cheshire West and Chester,896,2018-19,North West,North West,Unitary,Good,68054,230,34,478,70,1878,148,8,0.17,373,4794,10
Cornwall,908,2018-19,South West,South West,Unitary,Outstanding,107810,449,42,453,42,4149,548,13,0.18,161,7179,10
Cumbria,909,2018-19,North West,North West,County,Requires improvement to be good,92500,563,61,683,74,3136,331,11,0.16,74,3998,6
Gloucestershire,916,2018-19,South West,South West,County,Inadequate,128136,762,60,718,56,4163,277,7,0.15,240,14506,17
Hertfordshire,919,2018-19,East of England,East of England,County,Good,271005,556,21,930,34,5058,1030,20,0.13,724,60261,31
Isle of Wight,921,2018-19,South East,South East,Unitary,Good,24869,165,66,243,98,1178,225,19,0.2,373,1274,8
Lincolnshire,925,2018-19,East Midlands,East Midlands,County,Outstanding,145641,313,22,611,42,3556,415,12,0.18,128,15437,15
Norfolk,926,2018-19,East of England,East of England,County,Requires improvement to be good,170810,626,37,1188,70,4729,915,19,0.18,169,16678,15
Northamptonshire,928,2018-19,East Midlands,East Midlands,County,Inadequate,170235,661,39,1115,65,4693,325,7,0.17,319,32323,28
Northumberland,929,2018-19,North East,North East,Unitary,Good,59011,415,70,370,63,2360,429,18,0.19,64,2415,5
Oxfordshire,931,2018-19,South East,South East,County,Good,144788,592,41,779,54,4511,495,11,0.12,266,23885,25
Somerset,933,2018-19,South West,South West,County,Requires improvement to be good,110700,402,36,534,48,2608,316,12,0.15,163,7418,11
Suffolk,935,2018-19,East of England,East of England,County,Outstanding,152752,464,30,866,57,3532,654,19,0.15,200,16607,17
Surrey,936,2018-19,South East,South East,County,Inadequate,261905,959,37,973,37,5932,1004,17,0.1,720,40229,26
Warwickshire,937,2018-19,West Midlands,West Midlands,County,Requires improvement to be good,115928,345,30,722,62,3914,679,17,0.14,293,16680,20
West Sussex,938,2018-19,South East,South East,County,Inadequate,174672,621,36,704,40,4699,243,5,0.13,434,21698,19
"Bournemouth, Christchurch and Poole",839,2018-19,South West,South West,Unitary,Not yet inspected,66561,210,31,445,67,2454,298,12,0,2439,9359,21
City of London,201,2017-18,London,Inner London,City of London Corporation,Outstanding,1254,0,0,10,80,51,6,12,0.1,2636,212,75
Camden,202,2017-18,London,Inner London,London borough,Good,49173,311,63,199,40,1776,433,24,0.27,11628,16836,77
Greenwich,203,2017-18,London,Outer London,London borough,Good,68262,277,41,492,72,2619,469,18,0.27,5976,29314,69
Hackney,204,2017-18,London,Inner London,London borough,Requires improvement to be good,63048,200,32,381,60,2806,367,13,0.32,14485,28486,83
Hammersmith and Fulham,205,2017-18,London,Inner London,London borough,Good,35928,125,35,230,64,1513,192,13,0.27,11160,14538,73
Islington,206,2017-18,London,Inner London,London borough,Outstanding,41416,216,52,339,82,2190,314,14,0.35,15818,17732,73
Kensington and Chelsea,207,2017-18,London,Inner London,London borough,Outstanding,28475,78,27,87,31,923,85,9,0.17,12846,9793,79
Lambeth,208,2017-18,London,Inner London,London borough,Requires improvement to be good,62632,300,48,410,65,3018,287,10,0.3,12087,31010,84
Lewisham,209,2017-18,London,Inner London,London borough,Requires improvement to be good,68272,327,48,482,71,2567,390,15,0.3,8572,29966,76
Southwark,210,2017-18,London,Inner London,London borough,Good,64386,347,54,491,76,2810,289,10,0.3,10887,32460,79
Tower Hamlets,211,2017-18,London,Inner London,London borough,Good,68403,290,42,286,42,3158,373,12,0.39,15564,39700,91
Wandsworth,212,2017-18,London,Inner London,London borough,Requires improvement to be good,63019,273,43,307,49,2818,325,12,0.21,9434,24153,73
Westminster,213,2017-18,London,Inner London,London borough,Outstanding,45165,80,18,204,45,1619,251,16,0.29,11393,18951,86
Barking and Dagenham,301,2017-18,London,Outer London,London borough,Requires improvement to be good,62889,321,51,408,65,2173,109,5,0.32,5836,32789,77
Barnet,302,2017-18,London,Outer London,London borough,Good,91502,162,18,335,37,2107,317,15,0.18,4470,39601,70
Bexley,303,2017-18,London,Outer London,London borough,Outstanding,56600,158,28,240,42,1601,291,18,0.19,4063,18740,43
Brent,304,2017-18,London,Outer London,London borough,Good,77563,325,42,318,41,2852,202,7,0.27,7612,41595,92
Bromley,305,2017-18,London,Outer London,London borough,Good,74041,222,30,310,42,1862,430,23,0.17,2194,19086,38
Croydon,306,2017-18,London,Outer London,London borough,Good,94775,568,60,783,83,5198,411,8,0.23,4449,40587,72
Ealing,307,2017-18,London,Outer London,London borough,Requires improvement to be good,81884,250,31,343,42,2283,172,8,0.23,6170,45236,85
Enfield,308,2017-18,London,Outer London,London borough,Good,84211,235,28,333,40,2683,568,21,0.31,4116,45650,81
Haringey,309,2017-18,London,Inner London,London borough,Requires improvement to be good,60625,339,56,429,71,2294,87,4,0.29,9163,29717,80
Harrow,310,2017-18,London,Outer London,London borough,Good,57825,232,40,159,27,1505,238,16,0.17,4932,31937,89
Havering,311,2017-18,London,Outer London,London borough,Good,56671,215,38,250,44,2273,266,12,0.2,2279,13829,36
Hillingdon,312,2017-18,London,Outer London,London borough,Good,72746,373,51,290,40,2545,262,10,0.21,2613,34812,68
Hounslow,313,2017-18,London,Outer London,London borough,Good,63928,228,36,248,39,1984,255,13,0.22,4807,34477,81
Kingston upon Thames,314,2017-18,London,Outer London,London borough,Outstanding,38609,138,36,127,33,785,62,8,0.12,4686,13746,55
Merton,315,2017-18,London,Outer London,London borough,Good,47002,196,42,154,33,1434,159,11,0.17,5476,19576,69
Newham,316,2017-18,London,Inner London,London borough,Inadequate,85755,325,38,403,47,3915,500,13,0.29,9613,57204,95
Redbridge,317,2017-18,London,Outer London,London borough,Outstanding,75908,289,38,223,29,2267,475,21,0.19,5349,48764,87
Richmond upon Thames,318,2017-18,London,Outer London,London borough,Good,45122,97,22,105,23,793,77,10,0.09,3409,10883,41
Sutton,319,2017-18,London,Outer London,London borough,Good,47469,265,56,215,45,1560,351,23,0.16,4635,19544,52
Waltham Forest,320,2017-18,London,Outer London,London borough,Good,66801,161,24,294,44,2828,447,16,0.27,7099,34903,82
Birmingham,330,2017-18,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,288082,1193,41,1922,67,9000,1083,12,0.31,4246,136975,70
Coventry,331,2017-18,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,77584,464,60,652,84,3586,296,8,0.25,3651,27927,51
Dudley,332,2017-18,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,68811,408,59,660,96,2715,393,15,0.22,3261,11569,25
Sandwell,333,2017-18,West Midlands,West Midlands,Metropolitan borough council,Inadequate,81080,825,102,749,92,3661,255,7,0.3,3804,32702,56
Solihull,334,2017-18,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,46714,205,44,413,88,1503,423,28,0.16,1200,10189,26
Walsall,335,2017-18,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,67211,408,61,636,95,2715,220,8,0.28,2705,19841,40
Wolverhampton,336,2017-18,West Midlands,West Midlands,Metropolitan borough council,Good,60091,378,63,648,108,2609,334,13,0.31,3743,23836,54
Knowsley,340,2017-18,North West,North West,Metropolitan borough council,Requires improvement to be good,32930,185,56,288,87,1173,92,8,0.34,1717,1381,7
Liverpool,341,2017-18,North West,North West,Metropolitan borough council,Requires improvement to be good,93556,365,39,1191,127,3817,235,6,0.33,4395,17946,25
St. Helens,342,2017-18,North West,North West,Metropolitan borough council,Inadequate,36644,127,35,442,121,1569,276,18,0.26,1315,1599,6
Sefton,343,2017-18,North West,North West,Metropolitan borough council,Requires improvement to be good,53514,238,45,480,90,2165,276,13,0.21,1772,3231,8
Wirral,344,2017-18,North West,North West,Metropolitan borough council,Requires improvement to be good,67706,253,37,833,123,2913,358,12,0.24,2055,4166,8
Bolton,350,2017-18,North West,North West,Metropolitan borough council,Good,67433,265,39,615,91,2173,130,6,0.23,2037,19285,39
Bury,351,2017-18,North West,North West,Metropolitan borough council,Requires improvement to be good,43113,199,46,333,77,1408,224,16,0.18,1907,7887,27
Manchester,352,2017-18,North West,North West,Metropolitan borough council,Requires improvement to be good,121182,982,81,1257,104,5634,330,6,0.34,4717,53256,63
Oldham,353,2017-18,North West,North West,Metropolitan borough council,Requires improvement to be good,59069,549,93,551,93,2864,314,11,0.26,1642,19741,46
Rochdale,354,2017-18,North West,North West,Metropolitan borough council,Requires improvement to be good,52128,240,46,498,96,2115,336,16,0.27,1382,13872,39
Salford,355,2017-18,North West,North West,Metropolitan borough council,Good,55657,347,62,572,103,2230,325,15,0.28,2586,9800,28
Stockport,356,2017-18,North West,North West,Metropolitan borough council,Good,62912,332,53,362,58,2011,242,12,0.16,2309,7300,18
Tameside,357,2017-18,North West,North West,Metropolitan borough council,Requires improvement to be good,49645,485,98,616,124,2510,107,4,0.25,2173,8015,22
Trafford,358,2017-18,North West,North West,Metropolitan borough council,Inadequate,55642,259,47,381,68,1502,145,10,0.14,2221,13559,33
Wigan,359,2017-18,North West,North West,Metropolitan borough council,Good,68076,200,29,479,70,1732,241,14,0.2,1725,3943,9
Barnsley,370,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,50185,189,38,310,62,1512,233,15,0.25,739,2827,8
Doncaster,371,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,65867,374,57,569,86,2907,199,7,0.25,544,7355,16
Rotherham,372,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,56947,651,114,619,109,3115,180,6,0.24,919,7881,18
Sheffield,373,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,116703,459,39,628,54,3653,434,12,0.24,1570,28084,35
Bradford,380,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Inadequate,141606,570,40,986,70,4476,384,9,0.25,1460,56279,58
Calderdale,381,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,46168,253,55,297,64,1454,92,6,0.21,575,9293,26
Kirklees,382,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Requires improvement to be good,99815,352,35,674,68,2462,252,10,0.19,1070,27171,41
Leeds,383,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Outstanding,166268,522,31,1271,76,5896,329,6,0.23,1423,41440,34
Wakefield,384,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Inadequate,71639,262,37,562,78,3327,317,10,0.22,1006,7612,15
Gateshead,390,2017-18,North East,North East,Metropolitan borough council,Good,39780,295,74,393,99,1703,375,22,0.23,1422,3292,12
Newcastle upon Tyne,391,2017-18,North East,North East,Metropolitan borough council,Requires improvement to be good,57544,488,85,566,98,2836,538,19,0.27,2608,12444,32
North Tyneside,392,2017-18,North East,North East,Metropolitan borough council,Outstanding,40877,150,37,282,69,1264,165,13,0.2,2484,2670,9
South Tyneside,393,2017-18,North East,North East,Metropolitan borough council,Good,29609,229,77,319,108,1344,180,13,0.28,2322,1802,8
Sunderland,394,2017-18,North East,North East,Metropolitan borough council,Inadequate,54444,495,91,579,106,2899,53,2,0.26,2017,3326,8
Isles of Scilly,420,2017-18,South West,South West,Council of the Isles of Scilly,Good,365,0,0,0,0,34,0,0,0.01,138,28,10
Bath and North East Somerset,800,2017-18,South West,South West,Unitary,Good,35558,173,49,169,48,1055,249,24,0.12,546,3522,13
"Bristol, City of",801,2017-18,South West,South West,Unitary,Requires improvement to be good,93960,369,39,644,69,3105,481,16,0.25,4186,21412,37
North Somerset,802,2017-18,South West,South West,Unitary,Requires improvement to be good,43189,137,32,237,55,1199,212,18,0.15,569,3387,11
South Gloucestershire,803,2017-18,South West,South West,Unitary,Requires improvement to be good,58166,239,41,195,34,1659,315,19,0.12,561,6393,16
Hartlepool,805,2017-18,North East,North East,Unitary,Good,20050,169,84,278,139,1365,177,13,0.31,994,1003,7
Middlesbrough,806,2017-18,North East,North East,Unitary,Inadequate,32396,266,82,445,137,2231,314,14,0.36,2610,6312,26
Redcar and Cleveland,807,2017-18,North East,North East,Unitary,Requires improvement to be good,27519,156,57,284,103,1291,185,14,0.27,556,928,4
Stockton-on-Tees,808,2017-18,North East,North East,Unitary,Requires improvement to be good,43250,216,50,468,108,2174,207,10,0.23,959,3677,12
"Kingston Upon Hull, City of",810,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Inadequate,56454,433,77,753,133,3762,469,13,0.34,3648,7632,19
East Riding of Yorkshire,811,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Inadequate,62638,203,32,312,50,1998,331,17,0.13,141,3091,7
North East Lincolnshire,812,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Good,34392,265,77,354,103,2138,79,4,0.29,833,2010,9
North Lincolnshire,813,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Outstanding,35679,129,36,227,64,1034,141,14,0.21,202,3448,14
North Yorkshire,815,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,County,Outstanding,117596,515,44,437,37,2982,542,18,0.11,76,7194,9
York,816,2017-18,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Good,36524,166,45,195,53,1397,128,9,0.12,765,2983,12
Luton,821,2017-18,East of England,East of England,Unitary,Inadequate,57043,208,37,381,67,2249,438,20,0.24,4951,29594,79
Bedford Borough,822,2017-18,East of England,East of England,Unitary,Requires improvement to be good,39224,153,39,239,61,1546,162,11,0.19,357,12546,45
Central Bedfordshire,823,2017-18,East of England,East of England,Unitary,Good,61449,223,36,312,51,1356,240,18,0.14,391,7498,17
Buckinghamshire,825,2017-18,South East,South East,County,Inadequate,123075,638,52,475,39,3714,576,16,0.1,342,28929,35
Milton Keynes,826,2017-18,South East,South East,Unitary,Requires improvement to be good,67647,104,15,391,58,1874,364,19,0.2,867,20106,44
Derbyshire,830,2017-18,East Midlands,East Midlands,County,Requires improvement to be good,153099,971,63,719,47,5429,1015,19,0.17,311,7344,7
Derby,831,2017-18,East Midlands,East Midlands,Unitary,Good,59670,519,87,491,82,2836,307,11,0.25,3294,17344,41
Dorset,835,2017-18,South West,South West,County,,76861,244,32,451,59,2410,199,8,0.13,167,4523,8
Poole,836,2017-18,South West,South West,Unitary,0,30190,119,39,195,65,1127,165,15,0.16,2336,2830,15
Bournemouth,837,2017-18,South West,South West,Unitary,0,35981,181,50,246,68,1094,87,8,0.19,4217,6068,26
Durham,840,2017-18,North East,North East,Unitary,Requires improvement to be good,100540,496,49,800,80,3570,187,5,0.24,235,3705,5
Darlington,841,2017-18,North East,North East,Unitary,Requires improvement to be good,22476,115,51,214,95,900,134,15,0.22,539,1894,12
East Sussex,845,2017-18,South East,South East,County,Outstanding,106045,560,53,603,57,3134,440,14,0.17,323,8794,13
Brighton and Hove,846,2017-18,South East,South East,Unitary,Good,50981,395,78,418,82,2175,199,9,0.18,3481,8410,27
Hampshire,850,2017-18,South East,South East,County,Outstanding,283314,1294,46,1594,56,8285,1195,14,0.12,373,22835,13
Portsmouth,851,2017-18,South East,South East,Unitary,Good,44192,286,65,415,94,1748,186,11,0.24,5316,6147,24
Southampton,852,2017-18,South East,South East,Unitary,Requires improvement to be good,50305,324,64,522,104,2394,396,17,0.25,5056,11738,37
Leicestershire,855,2017-18,East Midlands,East Midlands,County,Requires improvement to be good,138410,394,29,555,40,2128,294,14,0.12,331,17634,18
Leicester,856,2017-18,East Midlands,East Midlands,Unitary,Requires improvement to be good,83778,614,73,676,81,2562,207,8,0.28,4820,40295,73
Rutland,857,2017-18,East Midlands,East Midlands,Unitary,Requires improvement to be good,7765,19,25,30,39,232,33,14,0.08,103,442,8
Staffordshire,860,2017-18,West Midlands,West Midlands,County,Good,168935,643,38,1101,65,6041,727,12,0.15,332,14332,12
Stoke-on-Trent,861,2017-18,West Midlands,West Midlands,Unitary,Inadequate,57271,280,49,740,129,3200,430,13,0.29,2733,12047,31
Wiltshire,865,2017-18,South West,South West,Unitary,Good,105597,359,34,443,42,2754,322,12,0.11,152,7944,12
Swindon,866,2017-18,South West,South West,Unitary,Good,49924,362,73,360,72,2713,217,8,0.17,958,9649,29
Bracknell Forest,867,2017-18,South East,South East,Unitary,Good,28071,105,37,138,49,993,88,9,0.11,1100,3895,22
Windsor and Maidenhead,868,2017-18,South East,South East,Unitary,Good,34352,74,22,107,31,767,63,8,0.08,764,7726,36
West Berkshire,869,2017-18,South East,South East,Unitary,Good,35790,168,47,145,41,1021,155,15,0.1,225,4252,17
Reading,870,2017-18,South East,South East,Unitary,Requires improvement to be good,37093,290,78,278,75,1683,187,11,0.2,4037,12217,57
Slough,871,2017-18,South East,South East,Unitary,Requires improvement to be good,42180,161,38,206,49,1223,188,15,0.2,4572,25388,85
Wokingham,872,2017-18,South East,South East,Unitary,Requires improvement to be good,38702,126,33,106,27,969,81,8,0.07,922,8376,32
Cambridgeshire,873,2017-18,East of England,East of England,County,Requires improvement to be good,134525,476,35,706,52,3425,509,15,0.13,213,19199,23
Peterborough,874,2017-18,East of England,East of England,Unitary,Good,50009,228,46,369,74,1651,236,14,0.25,579,17575,49
Halton,876,2017-18,North West,North West,Unitary,Requires improvement to be good,28408,179,63,262,92,1192,135,11,0.27,1613,1050,6
Warrington,877,2017-18,North West,North West,Unitary,Good,44646,166,37,401,90,1248,137,11,0.15,1161,3989,13
Devon,878,2017-18,South West,South West,County,Inadequate,144720,483,33,694,48,3983,761,19,0.14,120,7478,8
Plymouth,879,2017-18,South West,South West,Unitary,Requires improvement to be good,52417,335,64,417,80,1980,366,19,0.23,3295,4490,12
